a.1.1	better user experience, easier to use, more accurate scanning
c.2.8	to improve security and access control in UCL, control access to ucl buildings, control access to computer cluster
c.2.9	to improve security and access control in UCL, control access to ucl buildings, control access to rooms
c.2.10	to improve security and access control in UCL, control access to ucl buildings, control access to exam venues
c.3.1	to improve security and access control in UCL, enable visual checking, enable photo visual checks
c.3.2	to improve security and access control in UCL, enable visual checking, visual checking cardholder's role
c.4.1	to improve security and access control in UCL, access control to include movement tracking/logsmovement tracking in buildings other than library
c.4.2	to improve security and access control in UCL, access control to include movement tracking/logs, movement tracking/logs in the library
c.4.3	to improve security and access control in UCL, access control to include movement tracking/logs, enable alumni tracking
c.4.4	to improve security and access control in UCL, access control to include movement tracking/logs, use card to mark attendance
c.4.5	to improve security and access control in UCL, access control to include movement tracking/logs, clocking in and out
c.4.6	to improve security and access control in UCL, access control to include movement tracking/logs, clear policies on movement tracking/logs
c.5.1	to improve security and access control in UCL, increase access control to buildings, easy to install new readers
d.1.1	improve processes, faster issue of cards, fast production of cards
d.1.2	improve processes, faster issue of cards, many issue points
d.2.1	improve processes, reduce queuing time, staff do not go to HR for cards
d.2.2	improve processes, reduce queuing time, distance arrangements for preparation of cards
d.2.3	improve processes, reduce queuing time, appointment system to reduce queuing time
d.4.1	improve processes, easy to replace lost cards, ucl shop to handle lost cards
d.5.1	improve processes, granting access rights, view and modify access rights, time of access, online, without card being present
d.5.2	improve processes, granting access rights, activate and inactivate card
d.5.3	improve processes, granting access rights, role-based method to grant access rights
d.5.4	improve processes, granting access rights, close to real time update
d.5.5	reminders of access end dates
e.1.1	reduce cost, save money on cards, no longer require MRM smart cards
e.1.2	reduce cost, save money on cards, cheap x 10p item
e.1.3	reduce cost, save money on cards, card is reusable/recyclable
f.2.1	compatible with existing administrative systems, compatible with library systems, compatible with library barcode
f.2.2	compatible with existing administrative systems, compatible with library systems, compatible with library management system
f.4.1	compatible with existing administrative systems, compatible with UPI, map user identity to UPI (INCLUDING group memberships and roles)
f.6.1	compatible with existing administrative systems, impact to other systems, UPI
f.6.2	compatible with existing administrative systems, impact to other systems, portico
f.6.3	compatible with existing administrative systems, impact to other systems, does not interface with HR directly
g.1.1	better data quality, centralised management of access and identification information, card must have unique id
g.1.2	better data quality, centralised management of access and identification information, data should not be duplicated
g.2.1	better data quality, export data to other systems, export data to student system
g.2.2	better data quality, export data to other systems, export data to library (access card changes, leavers, barcode)
g.2.3	better data quality, export data to other systems, export data to staff system
g.3.1	better data quality, import data from other systems, import data from staff and student systems
g.3.2	better data quality, import data from other systems, import photo from registry
g.4.1	better data quality, data access: able to view, update, delete remotely and securely, able to view data from any computer
g.4.2	better data quality, data access: able to view, update, delete remotely and securely, update/delete data
g.4.3	better data quality, data access: able to view, update, delete remotely and securely, enter data
g.4.4	better data quality, data access: able to view, update, delete remotely and securely, authorised access with firewalls and time limitations
g.4.5	better data quality, data access: able to view, update, delete remotely and securely, ensure secure data storage
h.2.1	extensible for future features, include payment mechanism, use as bank card
h.2.2	extensible for future features, include payment mechanism, combine with photocopy card
h.2.3	extensible for future features, include payment mechanism, used for cashless vending
h.2.4	extensible for future features, include payment mechanism, oyster card
h.5.1	extensible for future features, increase security, thumb reader
i.1.1	project delivery activities, supplier support, project delivery activities, 5 years minimum
i.1.2	project delivery activities, supplier support, Support virtual machine environment
i.1.3	project delivery activities, supplier support, card readers
i.1.4	project delivery activities, supplier support, card printers
i.2.1	project delivery activities, technical documents, all software
i.2.2	project delivery activities, technical documents, business rules document
i.2.3	project delivery activities, technical documents, requirements document
i.2.4	project delivery activities, technical documents, design document
i.2.5	project delivery activities, technical documents, documented processes of dependent systems
i.2.6	project delivery activities, technical documents, technical document for upi
i.3.1	project delivery activities, project management activities, requirements management
i.3.2	project delivery activities, project management activities, change management
i.3.3	project delivery activities, project management activities, quality management
i.3.4	project delivery activities, project management activities, budget management
i.3.5	project delivery activities, project management activities, development
i.3.6	project delivery activities, project management activities, maintenance
j.1.1	technical constraints, fail safe, failure does not restrict access
j.1.2	technical constraints, fail safe, safe in case of power failure
j.2.1	technical constraints, conform to standards and legislations, technical architecture standards
j.2.2	technical constraints, conform to standards and legislations, management system standards
j.2.3	technical constraints, conform to standards and legislations, security standards
j.2.4	technical constraints, conform to standards and legislations, health and safety legislations
j.3.1	technical constraints, technology, no change to existing technology approach
j.3.2	technical constraints, technology, smart card technology
j.3.3	technical constraints, technology, not constrained by card solution
j.3.4	technical constraints, technology, card printers technology
j.4.1	technical constraints, lifecycle, 5 years
j.5.1	technical constraints, reliable, antivirus
j.5.2	technical constraints, reliable, reliable such that people can open doors
j.5.3	technical constraints, reliable, software interface
j.5.4	technical constraints, reliable, continue operation
j.5.5	technical constraints, reliable, secure network
j.6.1	technical constraints, available, server software run in a virtual machine environme
j.6.2	technical constraints, available, working without interruption for 100 days
j.6.3	technical constraints, available, data backup
j.6.4	technical constraints, available, switch to standby system in the event of a hardware fail
j.7.1	technical constraints, network infrastructure, cabling
j.7.2	technical constraints, network infrastructure, landswitch
