,a.1.2,a.1.3,a.3.1,a.3.2,a.3.3,a.3.4,a.3.6,b.1.1,b.1.2,b.1.3,b.1.4,b.1.5,b.1.7,b.3.1,b.3.2,b.3.3,b.3.4,b.6.1,c.2.10,c.2.2,c.2.3,c.2.4,c.2.7,c.2.8,c.2.9,c.3.1,c.3.2,c.4.1,c.4.2,c.4.3,c.4.4,c.5.1,d.1.1,d.1.2,d.4.1,d.5.1,d.5.2,d.5.3,d.5.4,e.1.1,e.1.2,f.2.1,f.4.1,f.6.1,f.6.2,g.1.1,g.1.2,g.2.1,g.2.2,g.2.3,g.3.2,g.4.1,g.4.2,g.4.3,g.4.4,g.4.5,h.2.1,h.2.2,h.2.3,h.2.4,i.1.1,i.1.3,i.1.4,i.2.3,i.2.5,i.3.1,i.3.2,i.3.3,i.3.4,i.3.5,i.3.6,j.1.1,j.2.1,j.2.2,j.2.3,j.3.3,j.3.4,j.4.1,j.5.1,j.5.4,j.5.5,j.6.1,j.6.2,j.6.3,j.6.4,j.7.1,j.7.2
b.1.4,0.990479162,0.990479162,0.98809116,0.98809116,0.98809116,0.98809116,0.981100171,1,1,1,1,1,1,0.995893206,1,0,0,1,0.948858769,0.948858769,0.952941176,0.948858769,0.948858769,0.948858769,0.948858769,0.985400481,0.976327132,0.967555832,0.967555832,0.976810225,0.971825316,0.980154813,0.981100171,0.949225149,0.949225149,0.984707131,0.970203745,0.970203745,0.970203745,0.95292578,0.994309154,0.994134847,1,1,1,1,0.979524462,0.901531113,0.940766551,0.950801235,0.956022225,0,0,0,1,1,0.706094298,1,0.920660686,1,0,0,0,0.894427191,0,0,0,0,0,0,0.995893206,1,1,0.980580676,1,0,0,0,0,0,0,0,1,1,1,0,0
b.1.5,0.993883735,0.993883735,0.993883735,0.993883735,0.993883735,0.993883735,0.979804059,1,1,1,1,1,1,0,1,0,0,1,0.979804059,0.979804059,0.993883735,0.979804059,0.979804059,0.979804059,0.979804059,0.993883735,0.979804059,0.979804059,0.979804059,0.979804059,0.993883735,0.979804059,0.99980006,0.99980006,0.99980006,0.99980006,0.99980006,0.99980006,0.99980006,1,1,0,0,0,0,1,0.99980006,0.996240588,1,0.996240588,0.996240588,0,0,0,0,0,0.624695048,0,0.996240588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b.1.7,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b.3.1,0.958591373,0.958591373,0.995893206,0.995893206,0.995893206,0.995910003,0.995893206,0,0,0,0.995893206,0,0,1,0,0,0,0,0.900411781,0.900411781,0.900411781,0.900411781,0.900411781,0.900411781,0.900411781,0.96667397,0.99611649,0.936346943,0.936346943,0.956837985,0.944247463,0.962893922,0.992464992,0.85564465,0.892137411,0.986307871,0.962176212,0.962176212,0.962176212,1,0.979804059,0.976090601,0.976090601,0.976090601,0.976090601,0,0.923305801,0.984304735,0.982874435,0.984304735,0.892095817,0,1,0,0.989156045,0,0.579497358,1,0.938103711,1,0,0,0,0.798998427,0,0,0,0,0,0,0.995045586,0,0.99980006,0.919021248,0.977618883,0,0,0,0,0,0,0,1,0.991902701,0.995195549,0,0
b.3.2,0.995893206,0.995893206,1,1,1,1,0.995893206,1,1,1,1,1,1,0,1,0,0,1,0.995893206,0.995893206,1,0.995893206,0.995893206,0.995893206,0.995893206,1,0.995893206,0.995893206,0.995893206,0.995893206,1,0.995893206,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0.980580676,1,0.980580676,0.995893206,0,0,0,0,0,0,0,0.948683298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b.3.3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b.3.4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
b.6.1,0.984731928,0.984731928,0.984731928,0.984731928,0.984731928,0.984731928,0.974126384,1,1,1,1,1,1,0,1,0,0,1,0.965581029,0.965581029,0.974126384,0.965581029,0.965581029,0.965581029,0.965581029,0.984731928,0.965581029,0.965581029,0.965581029,0.965581029,0.974126384,0.965581029,1,0.984731928,0.984731928,0.984731928,0.984731928,0.984731928,0.984731928,1,1,0,0,0,0,1,0.984731928,0.995773637,0.980580676,0.995773637,0.984731928,0,0,0,0,0,0.762770072,0,0.971859062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c.2.10,0.965546629,0.965546629,0.966834653,0.963735276,0.963238095,0.963222759,0.96275314,1,1,0.995893206,0.948858769,0.979804059,1,0.900411781,0.995893206,1,1,0.965581029,1,0.999714169,0.999714169,1,1,0.998856057,1,0.989098016,1,0.997985653,0.997709211,0.997127095,0.995984176,0.993594633,0.976369083,0.979375673,0.980384647,0.98109582,0.981542431,0.981542431,0.981542431,0.875362417,0.890811904,0.870080515,0.882448255,0.861465644,0.846845381,0.995893206,0.958856183,0.901430403,0.898487743,0.915419242,0.933682978,1,1,1,0.905447843,0.966091783,0.682617893,0.864794379,0.855329659,0.859679448,1,0.980580676,1,0.80247764,1,1,1,0.985427712,1,0.99980006,0.846065962,0.970725343,0.988623065,0.819271973,0.881830348,1,1,1,0.95872092,0.944200181,0.95872092,0,1,0.913705625,0.9351438,1,1
c.2.2,0.965392783,0.965392783,0.966551846,0.963466033,0.962968307,0.962956626,0.962974655,1,1,0.995893206,0.948858769,0.979804059,1,0.900411781,0.995893206,1,1,0.965581029,0.999714169,1,0.999419954,0.999714169,0.999714169,0.998557043,0.999714169,0.988623417,0.999709858,0.998841922,0.999143072,0.997978505,0.995596926,0.993532236,0.975713559,0.979210001,0.980235744,0.98047984,0.98094158,0.98094158,0.98094158,0.875362417,0.890811904,0.870080515,0.882448255,0.861465644,0.846845381,0.995893206,0.958091541,0.899624177,0.896916852,0.913985867,0.933021364,1,1,1,0.905447843,0.962250449,0.680113474,0.867656645,0.854685386,0.859679448,1,0.980580676,1,0.80247764,1,1,1,0.985427712,1,0.99980006,0.846065962,0.970725343,0.988623065,0.819271973,0.881830348,1,1,1,0.95872092,0.944200181,0.95872092,0,1,0.913705625,0.9351438,1,1
c.2.3,0.965392783,0.965392783,0.966551846,0.963466033,0.962968307,0.962956626,0.962425012,1,0.995893206,0.983606557,0.952941176,0.993883735,1,0.900411781,1,1,1,0.974126384,0.999714169,0.999419954,1,0.999714169,0.999714169,0.998557043,0.999714169,0.989190613,0.999709858,0.998841922,0.998565533,0.997978505,0.996166815,0.993532236,0.976301693,0.97980599,0.980838224,0.981032223,0.98149704,0.98149704,0.98149704,0.871390862,0.898969632,0.870080515,0.882448255,0.861465644,0.846845381,0.983606557,0.958681862,0.900996602,0.897019463,0.915344954,0.93372078,1,1,1,0.905447843,0.966091783,0.675999884,0.864794379,0.855662169,0.859679448,1,0.980580676,1,0.80247764,1,1,1,0.985427712,1,0.99980006,0.846065962,0.970725343,0.988623065,0.819271973,0.881830348,1,1,1,0.95872092,0.944200181,0.95872092,0,1,0.913705625,0.9351438,1,1
c.2.4,0.965057152,0.965057152,0.966389044,0.963263191,0.962756208,0.962726137,0.96275314,1,1,0.995893206,0.948858769,0.979804059,1,0.900411781,0.995893206,1,1,0.965581029,1,0.999714169,0.999714169,1,1,0.998856057,1,0.988947478,1,0.999137654,0.998869584,0.998275664,0.995929833,0.993849681,0.976027806,0.979359462,0.980355932,0.9808521,0.981299889,0.981299889,0.981299889,0.875362417,0.890811904,0.870080515,0.882448255,0.861465644,0.846845381,0.995893206,0.958247007,0.899860353,0.897019463,0.914363901,0.932661204,1,1,1,0.905447843,0.966091783,0.678332754,0.864794379,0.852809626,0.859679448,1,0.980580676,1,0.80247764,1,1,1,0.985427712,1,0.99980006,0.846065962,0.970725343,0.988623065,0.819271973,0.881830348,1,1,1,0.95872092,0.944200181,0.95872092,0,1,0.913705625,0.9351438,1,1
c.2.7,0.965057152,0.965057152,0.966389044,0.963263191,0.962756208,0.962726137,0.96275314,1,1,0.995893206,0.948858769,0.979804059,1,0.900411781,0.995893206,1,1,0.965581029,1,0.999714169,0.999714169,1,1,0.998856057,1,0.988947478,1,0.999137654,0.998869584,0.998275664,0.995929833,0.993849681,0.976027806,0.979359462,0.980355932,0.9808521,0.981299889,0.981299889,0.981299889,0.875362417,0.890811904,0.870080515,0.882448255,0.861465644,0.846845381,0.995893206,0.958247007,0.899860353,0.897019463,0.914363901,0.932661204,1,1,1,0.905447843,0.966091783,0.678332754,0.864794379,0.852809626,0.859679448,1,0.980580676,1,0.80247764,1,1,1,0.985427712,1,0.99980006,0.846065962,0.970725343,0.988623065,0.819271973,0.881830348,1,1,1,0.95872092,0.944200181,0.95872092,0,1,0.913705625,0.9351438,1,1
c.2.8,0.966293176,0.966293176,0.967281422,0.964233274,0.963744459,0.963761849,0.963760172,1,1,0.995893206,0.948858769,0.979804059,1,0.900411781,0.995893206,1,1,0.965581029,0.998856057,0.998557043,0.998557043,0.998856057,0.998856057,1,0.998856057,0.987750128,0.998838792,0.997978505,0.997697342,0.99711483,0.994713564,0.992659518,0.97717232,0.980825098,0.981893496,0.981787187,0.982269207,0.982269207,0.982269207,0.875362417,0.890811904,0.870080515,0.882448255,0.861465644,0.846845381,0.995893206,0.958507781,0.90130585,0.898822592,0.91553441,0.933956147,1,1,1,0.905447843,0.966091783,0.682313138,0.864794379,0.857103601,0.859679448,1,0.980580676,1,0.80247764,1,1,1,0.985427712,1,0.99980006,0.846065962,0.970725343,0.988623065,0.819271973,0.881830348,1,1,1,0.95872092,0.944200181,0.95872092,0,1,0.913705625,0.9351438,1,1
c.2.9,0.965057152,0.965057152,0.966389044,0.963263191,0.962756208,0.962726137,0.96275314,1,1,0.995893206,0.948858769,0.979804059,1,0.900411781,0.995893206,1,1,0.965581029,1,0.999714169,0.999714169,1,1,0.998856057,1,0.988947478,1,0.999137654,0.998869584,0.998275664,0.995929833,0.993849681,0.976027806,0.979359462,0.980355932,0.9808521,0.981299889,0.981299889,0.981299889,0.875362417,0.890811904,0.870080515,0.882448255,0.861465644,0.846845381,0.995893206,0.958247007,0.899860353,0.897019463,0.914363901,0.932661204,1,1,1,0.905447843,0.966091783,0.678332754,0.864794379,0.852809626,0.859679448,1,0.980580676,1,0.80247764,1,1,1,0.985427712,1,0.99980006,0.846065962,0.970725343,0.988623065,0.819271973,0.881830348,1,1,1,0.95872092,0.944200181,0.95872092,0,1,0.913705625,0.9351438,1,1
c.3.1,0.966470535,0.966470535,0.970398355,0.968068942,0.971413496,0.973401021,0.970395576,1,0.995893206,0.983606557,0.985400481,0.993883735,1,0.96667397,1,1,1,0.984731928,0.989098016,0.988623417,0.989190613,0.988947478,0.988947478,0.987750128,0.988947478,1,0.99633698,0.98542179,0.98744806,0.983134944,0.979501102,0.984149119,0.973961199,0.961325573,0.971055758,0.984709034,0.983762241,0.984432045,0.983762241,0.888354263,0.911392658,0.92928267,0.935775441,0.921440482,0.91723098,0.983606557,0.96492519,0.917359301,0.911735152,0.928904531,0.931605319,1,1,1,0.977542205,0.974679434,0.670741926,0.869839312,0.84471917,0.862992388,1,0.980580676,1,0.732343657,1,1,1,0.990147543,1,0.99980006,0.921120863,0.970725343,0.995880192,0.926451218,0.951247998,1,1,1,0.95872092,0.944200181,0.95872092,0,1,0.961506719,0.932739447,1,1
c.3.2,0.966502771,0.966502771,0.974527388,0.971555446,0.971099594,0.970840268,0.971182947,1,1,0.995893206,0.976327132,0.979804059,1,0.99611649,0.995893206,1,1,0.965581029,1,0.999709858,0.999709858,1,1,0.998838792,1,0.99633698,1,0.999705149,0.999421161,0.999705149,0.996623078,0.996293972,0.985378735,0.980545986,0.980336281,0.98793553,0.98793553,0.98793553,0.98793553,0.880340843,0.895254611,0.919373524,0.929854777,0.908925758,0.897258932,0.995893206,0.968541441,0.909740553,0.908695148,0.923974774,0.93616349,1,1,1,0.994354117,0.966091783,0.676170362,0.857439956,0.853606084,0.851480784,1,0.980580676,1,0.725240668,1,1,1,0.985427712,1,0.99980006,0.88949918,0.970725343,0.99611649,0.906675621,0.934049774,1,1,1,0.95872092,0.944200181,0.95872092,0,0,0.975,0,1,1
c.4.1,0.958802374,0.958802374,0.964451023,0.961643193,0.966269707,0.966111426,0.966241011,1,1,0.995893206,0.967555832,0.979804059,1,0.936346943,0.995893206,1,1,0.965581029,0.997985653,0.998841922,0.998841922,0.999137654,0.999137654,0.997978505,0.999137654,0.98542179,0.999705149,1,0.997528028,0.99872835,0.995135472,0.987884618,0.966585734,0.964184629,0.977723902,0.981735709,0.980690259,0.980361729,0.980690259,0.892006431,0.903218347,0.900990271,0.910267373,0.892490173,0.883656218,0.995893206,0.956053976,0.907967808,0.908366031,0.920405906,0.931411369,1,1,1,0.951141609,0.974679434,0.672779909,0.869839312,0.838121696,0.862992388,1,0.980580676,1,0.809310632,1,1,1,0.985427712,1,0.99980006,0.902307759,0.970725343,0.996154022,0.854909015,0.917869827,1,1,1,0.95872092,0.940859154,0.95872092,1,1,0.934992397,0.971323728,1,1
c.4.2,0.961398864,0.961398864,0.966509842,0.963873469,0.968575642,0.968501829,0.968666007,1,1,0.995893206,0.967555832,0.979804059,1,0.936346943,0.995893206,1,1,0.965581029,0.997709211,0.999143072,0.998565533,0.998869584,0.998869584,0.997697342,0.998869584,0.98744806,0.999421161,0.997528028,1,0.993250275,0.989622603,0.983925026,0.968622927,0.96695521,0.977644325,0.983432381,0.982450893,0.982150301,0.982450893,0.892006431,0.903218347,0.900990271,0.910267373,0.892490173,0.883656218,0.995893206,0.958543453,0.911818787,0.90823179,0.923978957,0.935704295,1,1,1,0.951141609,0.971285862,0.669488254,0.872979711,0.833537682,0.862992388,1,0.980580676,1,0.809310632,1,1,1,0.985427712,1,0.99980006,0.902307759,0.970725343,0.996154022,0.854909015,0.917869827,1,1,1,0.95872092,0.940859154,0.95872092,1,1,0.934992397,0.971323728,1,1
c.4.3,0.955040769,0.955040769,0.962317403,0.959471783,0.964071446,0.963864943,0.963974274,1,1,0.995893206,0.976810225,0.979804059,1,0.956837985,0.995893206,1,1,0.965581029,0.997127095,0.997978505,0.997978505,0.998275664,0.998275664,0.99711483,0.998275664,0.983134944,0.999705149,0.99872835,0.993250275,1,0.995895214,0.988652902,0.964296956,0.959076711,0.97694775,0.979574153,0.978513671,0.978146547,0.978513671,0.892006431,0.903218347,0.916087161,0.923889295,0.907643781,0.90154611,0.995893206,0.953706858,0.905163459,0.910945702,0.917620299,0.925598933,1,1,1,0.966699445,0.974679434,0.673343455,0.869839312,0.840602047,0.862992388,1,0.980580676,1,0.802538346,1,1,1,0.985427712,1,0.99980006,0.919323749,0.970725343,0.996154022,0.878472713,0.935376801,1,1,1,0.95872092,0.940859154,0.95872092,1,1,0.948203959,0.992914565,1,1
c.4.4,0.95857181,0.95857181,0.965374331,0.961873047,0.966592002,0.965762466,0.965160228,1,0.995893206,0.983606557,0.971825316,0.993883735,1,0.944247463,1,1,1,0.974126384,0.995984176,0.995596926,0.996166815,0.995929833,0.995929833,0.994713564,0.995929833,0.979501102,0.996623078,0.995135472,0.989622603,0.995895214,1,0.989684615,0.962182952,0.961198913,0.977003876,0.980928477,0.979974759,0.979629198,0.979974759,0.888354263,0.911392658,0.903402455,0.912420017,0.895226699,0.88657507,0.983606557,0.957397305,0.906474828,0.910877468,0.917272956,0.929537052,1,1,1,0.952037479,0.974679434,0.674288885,0.869839312,0.843518401,0.862992388,1,0.980580676,1,0.820427823,1,1,1,0.985427712,1,0.99980006,0.904959055,0.970725343,0.996154022,0.836237999,0.912647268,1,1,1,0.95872092,0.940859154,0.95872092,1,1,0.940302121,0.967503167,1,1
c.5.1,0.956595403,0.956595403,0.963595554,0.960351253,0.964985158,0.965314598,0.964452857,1,1,0.995893206,0.980154813,0.979804059,1,0.962893922,0.995893206,1,1,0.965581029,0.993594633,0.993532236,0.993532236,0.993849681,0.993849681,0.992659518,0.993849681,0.984149119,0.996293972,0.987884618,0.983925026,0.988652902,0.989684615,1,0.964009998,0.956220968,0.974819368,0.979859372,0.980285732,0.986036484,0.980285732,0.875362417,0.890811904,0.916087161,0.923889295,0.907643781,0.90154611,0.995893206,0.955661966,0.897125781,0.899066585,0.910263043,0.919198779,1,1,1,0.966699445,0.974679434,0.669983251,0.864794379,0.838941929,0.859679448,1,0.980580676,1,0.781418916,1,1,1,0.985427712,1,0.99980006,0.909094818,0.970725343,0.988623065,0.891022324,0.935376801,1,1,1,0.95872092,0.944200181,0.95872092,0,1,0.95650567,0.992914565,1,1
d.1.1,0.968558028,0.968558028,0.97625003,0.974077268,0.964569454,0.967624549,0.972057386,1,0.995893206,0.983606557,0.981100171,0.99980006,1,0.992464992,1,1,1,1,0.976369083,0.975713559,0.976301693,0.976027806,0.976027806,0.97717232,0.976027806,0.973961199,0.985378735,0.966585734,0.968622927,0.964296956,0.962182952,0.964009998,1,0.966445371,0.981715745,0.991435707,0.987612148,0.98739164,0.987612148,0.883897744,0.90252172,0.983825804,0.985020034,0.968956045,0.981738533,0.995893206,0.97652529,0.92271172,0.924104574,0.933518367,0.952488183,1,1,1,0.990440208,0.981495458,0.654554237,0.906082617,0.828342489,0.909091098,0.980580676,0.980580676,1,0.78999615,1,1,1,0.989745214,1,0.993883735,0.976324904,0.970494959,0.982123683,0.949297798,0.990919328,1,1,1,0.947656421,0.938846885,0.947656421,1,1,0.97545545,0.98174696,1,1
d.1.2,0.950724731,0.950724731,0.950030968,0.948130607,0.947420028,0.950813023,0.955614563,1,0.995893206,0.983606557,0.949225149,0.99980006,1,0.85564465,1,1,1,0.984731928,0.979375673,0.979210001,0.97980599,0.979359462,0.979359462,0.980825098,0.979359462,0.961325573,0.980545986,0.964184629,0.96695521,0.959076711,0.961198913,0.956220968,0.966445371,1,0.996147699,0.967911197,0.969664507,0.969144406,0.969664507,0.815204083,0.854161482,0.883015302,0.893875227,0.861028068,0.862838785,0.995893206,0.954089068,0.912548158,0.91925157,0.931743698,0.928245476,1,1,1,0.893204887,0.981495458,0.66219818,0.856685623,0.793823543,0.870525166,1,0.980580676,1,0.822612745,1,1,1,0.985610761,1,0.993883735,0.859913017,0.92998111,0.973025545,0.890772016,0.885916269,1,1,1,0.95872092,0.944200181,0.95872092,0,1,0.861981561,0.971323729,1,1
