Word,Score
vcd,0.007649928
public,0.007627836
national,0.007577823
return,0.007572279
framework,0.007566518
sub,0.007483407
warc,0.007451372
want,0.007395792
primary,0.007393971
xml,0.007371284
key,0.007338142
structure,0.007322319
partition,0.007265617
maintenance,0.007242991
characteristic,0.007159229
load,0.007145461
storage,0.007140726
detailed,0.007119333
browser,0.007102182
modify,0.007082565
selection,0.007078465
ensure,0.007052406
correlator,0.007041189
cs,0.007022239
indicate,0.007011442
overview,0.006997255
procedure,0.006992177
establish,0.006979981
gog,0.006957712
water,0.006915812
additional,0.006908859
problem,0.006908434
assumption,0.006896559
protocol,0.006868706
transaction,0.006842718
collection,0.006840475
method,0.006827805
center,0.006826671
necessary,0.006794371
appropriate,0.006779172
rule,0.006749777
department,0.006744702
attorney,0.006705036
supply,0.006687421
alternative,0.006681513
overall,0.006679951
website,0.006635524
pontis,0.00660129
space,0.006600938
range,0.00659914
entry,0.006592488
write,0.006587304
limit,0.006558269
port,0.006552986
common,0.006539124
child,0.006518622
setting,0.006456216
coordinator,0.006444156
role,0.006412774
node,0.006404701
black,0.006390952
prototype,0.006386263
facility,0.006382024
technical,0.006360738
minimum,0.006336218
npac,0.006321628
hour,0.006300572
place,0.006297565
activity,0.006247095
transfer,0.006244077
operate,0.006231336
digital,0.006229206
take,0.006225008
mean,0.006206774
card,0.006199639
default,0.006167329
criterion,0.006161573
online,0.006106203
unique,0.006096128
intentionally,0.006091059
meet,0.006050578
channel,0.006042866
read,0.006042062
download,0.006007634
agency,0.00599981
permit,0.005961822
controller,0.005946933
TRUE,0.005939096
scenario,0.005937751
accept,0.005920649
like,0.005915169
history,0.005908702
conops,0.005896541
equipment,0.005887662
consider,0.0058816
electronic,0.005867967
bit,0.005865304
chapter,0.005843425
apaf,0.005819615
publication,0.00579712
eim,0.005781976
failure,0.005756215
emergency,0.005752429
master,0.005747219
register,0.005746907
person,0.005743575
administration,0.005725997
domain,0.00570863
technology,0.005705393
signal,0.005687208
course,0.005686553
testing,0.005662455
mobile,0.005661245
comment,0.005660102
sensor,0.005637222
tag,0.005628948
gparted,0.005624223
summary,0.005616211
transmission,0.005594943
sms,0.005591909
path,0.005573732
statistic,0.005570748
intend,0.005565775
personnel,0.005556322
initiate,0.005522004
party,0.005508626
trading,0.005497113
fr,0.005492524
host,0.005452752
automatically,0.005440435
fail,0.005425849
particular,0.0054054
reset,0.005401944
virtual,0.005400811
build,0.005399929
low,0.005394136
print,0.005371933
email,0.005362137
availability,0.005308698
target,0.005302886
office,0.005228016
copy,0.005210973
peering,0.005208561
memory,0.005204317
instrument,0.005186345
pump,0.00518628
long,0.005185947
xxx,0.005171155
cluster,0.005170991
payment,0.005158354
valid,0.005148885
weather,0.005141698
pre,0.005139944
vehicle,0.005136219
question,0.005086886
initial,0.005082169
processor,0.005078478
occur,0.005070018
revision,0.005069154
produce,0.005064754
period,0.00505681
accord,0.005052184
exception,0.005044894
post,0.005024117
execute,0.005018947
precondition,0.005014592
collect,0.005011352
applicable,0.005010537
month,0.005003992
rate,0.005001999
creation,0.005000211
objective,0.004996827
active,0.004993168
pdf,0.00497908
involve,0.004965874
phase,0.004964119
capture,0.004951232
count,0.004939032
windows,0.004937024
approve,0.004927075
delivery,0.004925248
internal,0.004915829
ers,0.004896752
notification,0.004896138
consist,0.004894643
repository,0.004879774
graphical,0.004877214
platform,0.004869598
know,0.004864918
voucher,0.004853103
approach,0.004832633
administrative,0.004826336
cycle,0.004826076
perspective,0.004819326
identification,0.00481747
recovery,0.004806222
cdn,0.004800046
trigger,0.004797209
developer,0.004786929
speed,0.004769857
right,0.004764171
defense,0.004760347
track,0.004753226
infrastructure,0.004749291
quantity,0.004732285
organization,0.004727629
movement,0.004716329
mandatory,0.004710518
acronym,0.004706026
important,0.004695785
currently,0.004689555
direct,0.004682853
play,0.00467634
drive,0.004672128
transportation,0.004654907
migration,0.004650604
mission,0.004645252
connect,0.004642751
remote,0.004633015
relationship,0.004622354
railway,0.004613351
assign,0.004612556
manual,0.004605006
science,0.004591859
instance,0.004587678
permission,0.004577251
physical,0.004565638
contractor,0.004551579
profile,0.004547603
basis,0.004545121
authentication,0.004537742
traffic,0.004536855
future,0.004535391
special,0.004533075
tile,0.004501656
znix,0.004493926
asset,0.004491388
related,0.004472909
people,0.004470535
image,0.004464531
simulation,0.004463821
continue,0.00445857
observation,0.004447899
template,0.004410605
subscription,0.004406461
clock,0.004382694
duap,0.004374605
authority,0.004373636
cost,0.004367924
frequency,0.004354351
assume,0.004348959
map,0.004348888
central,0.004343181
stakeholder,0.004339082
net,0.00429997
notify,0.004298999
login,0.004292663
good,0.004290205
wind,0.004288905
configure,0.004278739
mechanism,0.004273416
om,0.004269248
claim,0.004263092
api,0.004257459
supplier,0.00424535
connection,0.004237687
fan,0.004204669
expect,0.004198031
statement,0.004194592
leave,0.004194483
minute,0.004176458
title,0.004175835
ui,0.004156009
ok,0.004151279
represent,0.004138074
tachonet,0.004136682
patron,0.00411714
reliability,0.004106523
gemini,0.004105328
deliver,0.004077179
co,0.004068609
validation,0.004056573
integrate,0.004047533
short,0.004044294
major,0.00404197
original,0.004036416
board,0.004034321
sale,0.0040327
upload,0.00403135
solution,0.004027101
addition,0.004024861
execution,0.004023843
research,0.004021932
abbreviation,0.004014052
certain,0.004008004
cancel,0.004005768
maximum,0.004003271
paint,0.003999821
appear,0.003988369
c2c,0.003984589
safety,0.003977636
alarm,0.003971608
engine,0.003969961
microsoft,0.003967772
begin,0.003961935
usability,0.003957828
stage,0.003947334
easy,0.003940998
distribution,0.003936448
ct,0.003934782
care,0.003932621
simple,0.00391057
scheduler,0.0039082
pass,0.003905918
hold,0.003905294
broadcast,0.00390411
seller,0.003901911
university,0.003892313
multicast,0.003890322
size,0.0038863
xcp,0.003882491
remain,0.003857656
yes,0.003821226
previous,0.003814972
handle,0.003809017
remove,0.003807017
ieee,0.003803585
thermostat,0.00380254
self,0.00380109
share,0.003787842
position,0.003786837
exchange,0.003782382
man,0.003778479
cab,0.003754732
subsystem,0.003743733
parent,0.00374147
disk,0.003736544
purchase,0.003734489
material,0.003730923
subject,0.003729022
peazip,0.003721148
frame,0.003713269
large,0.003690667
interaction,0.003687435
depend,0.003684616
monitoring,0.003679313
split,0.003659618
measure,0.003655057
fault,0.003653145
match,0.003651521
concern,0.003637558
separate,0.003636568
declaration,0.003633284
make,0.003623827
medium,0.003609232
close,0.003606351
aspera,0.003602619
ftss,0.003596952
decision,0.003590944
dependency,0.003578804
desire,0.003570817
privilege,0.003569553
discovery,0.003559324
campaign,0.003559028
fun,0.003554398
mmi,0.003547225
std,0.003541818
buyer,0.003536388
shunting,0.003535371
secondary,0.003535329
eirene,0.003532248
generation,0.003531186
flight,0.003520949
shift,0.003515525
convention,0.003511711
similar,0.003507722
final,0.003500547
cia,0.003498305
pines,0.003493005
secure,0.003487853
logical,0.003487151
responsible,0.003477979
character,0.003474024
evla,0.003471552
draft,0.003468882
caiso,0.003458497
name,0.003452264
mm,0.003446908
heating,0.003443427
invoice,0.003439755
com,0.003434214
station,0.003433923
navigation,0.003414676
sample,0.003408168
directly,0.003397857
prepare,0.00339108
gsm,0.003386815
nlm,0.003386139
communicate,0.003378047
mouse,0.003374807
offer,0.003368704
hats,0.00336825
multi,0.003361187
press,0.00335833
critical,0.003352711
editor,0.003347061
turn,0.003345542
switch,0.003338594
multimahjongclient,0.003331003
counter,0.003325934
buddy,0.003323133
csc,0.003322593
services,0.003316695
air,0.003314679
threshold,0.003311976
dh,0.003309475
digitalhome,0.003309475
later,0.003306076
confirmation,0.003303804
calendar,0.003300619
integration,0.003299584
keyboard,0.003296279
license,0.003294216
requirements,0.003294178
uc,0.003286888
isin,0.003281724
backup,0.003279108
transform,0.003278294
voice,0.003269964
validate,0.003269354
transmit,0.00326735
cool,0.003260248
year,0.003245668
effort,0.003238147
lane,0.003226124
price,0.003219681
modification,0.003216888
flag,0.003209074
government,0.003207582
mashbot,0.003195004
extract,0.003190902
engineering,0.003179479
total,0.003167778
encrypt,0.003167344
owner,0.003164467
aspect,0.003152111
filter,0.003141717
previously,0.003138952
stream,0.003138895
iso,0.003118618
submission,0.003118173
analyst,0.003115362
hand,0.003107933
bridge,0.003107243
prior,0.00309014
retrieve,0.003082504
tbd,0.003078335
working,0.003070685
easily,0.003061255
reason,0.003060318
average,0.003059362
privacy,0.003038188
planning,0.003037081
legal,0.003027644
human,0.003024594
reserve,0.003019093
layer,0.003016959
layout,0.003012465
relevant,0.003012087
warning,0.003009844
evidence,0.003009617
propose,0.003007768
keepass,0.00299978
understand,0.002998993
frs,0.002988791
reporting,0.002985904
correspond,0.002985579
clear,0.002961346
algorithm,0.002960073
diagnostic,0.002955845
guide,0.002954039
treatment,0.002954023
kind,0.002946051
author,0.002938079
company,0.00293477
decide,0.002934015
demand,0.002932712
agentmom,0.00293087
machine,0.002928313
pattern,0.002919224
wish,0.002918072
obtain,0.002915369
box,0.002915339
arrangement,0.002912864
stock,0.002910098
dictionary,0.002909131
al,0.002907756
small,0.002907631
mention,0.002906017
directory,0.002905019
themas,0.002903415
bar,0.002901207
district,0.002896407
origin,0.002885199
mt598,0.002874899
actual,0.002872143
serve,0.002871406
fcp,0.002867616
ne,0.00285853
economic,0.002845879
concept,0.002845467
respond,0.0028445
international,0.002836264
training,0.002833734
terminal,0.002831697
glossary,0.002827083
distribute,0.002826771
interact,0.00282674
dynamic,0.002821109
manner,0.002817507
useful,0.002806722
knowledge,0.00280277
incorporate,0.00279747
investigation,0.002795324
lead,0.002790736
pop,0.002784356
normal,0.002780517
vessel,0.002779811
surface,0.002777747
etcs,0.002776961
capacity,0.002771384
look,0.00276984
confirm,0.002763626
visual,0.002760619
loss,0.002747297
queue,0.002740444
wide,0.002736833
extension,0.002727304
core,0.002722484
derive,0.002721136
fully,0.002719753
receipt,0.002719202
transactor,0.00271618
rlcs,0.00271423
uk,0.002710807
grade,0.002708686
rejection,0.002708615
linux,0.002705682
acquisition,0.002702285
registration,0.002700141
health,0.002697016
verify,0.002683468
label,0.002681408
stop,0.002670636
mapping,0.002662224
affect,0.002660271
interview,0.002658647
replace,0.002655273
boiler,0.002653554
route,0.002649969
automatic,0.002645824
de,0.002645465
assurance,0.002637157
backend,0.002633693
fix,0.00263313
compressor,0.00263301
strate,0.002630804
usage,0.00263009
scheduling,0.002629917
ground,0.002628847
situation,0.002622679
community,0.002620597
dependent,0.002606425
recommend,0.002598516
assignment,0.002595793
macro,0.002594503
ask,0.002591796
benefit,0.002588647
potential,0.00258054
compliance,0.002571534
market,0.002563944
java,0.002562059
enterprise,0.002554731
publish,0.002554355
assist,0.002553008
interrupt,0.002551965
indication,0.002550213
well,0.002549227
stimulus,0.002546694
topic,0.002546164
estimate,0.002542418
audit,0.002539936
retention,0.002539825
detect,0.002538913
vsp,0.002537861
audience,0.002533387
part,0.002531473
practice,0.002520049
impact,0.002515392
index,0.002510578
initialization,0.002508457
utility,0.002494295
accessible,0.002483008
reflect,0.002482966
cpu,0.002481848
reject,0.002481634
reqs,0.002479978
free,0.002477805
ip,0.002476491
incoming,0.002471431
telescope,0.00246441
choice,0.002462056
condenser,0.002453825
experience,0.002453439
achieve,0.002452017
designate,0.002434856
column,0.002432689
semantic,0.002429252
construction,0.002428909
matrix,0.002425092
go,0.002424095
provision,0.002412842
measurement,0.002410035
transformation,0.002409291
attempt,0.002408158
charge,0.002389014
calculate,0.002383356
sufficient,0.002382807
string,0.00238199
great,0.002379516
destination,0.00237552
navigate,0.00237228
come,0.002371912
move,0.002371862
advanced,0.002368097
en,0.002366154
npa,0.002364579
word,0.002363554
cover,0.002360088
old,0.002356419
participant,0.002355222
conform,0.002354912
fill,0.002352716
pa,0.002350753
interoperability,0.002346704
messaging,0.00234537
responsibility,0.002344319
multimahjongserver,0.002340704
daily,0.002339745
factor,0.002337857
prompt,0.002336787
deletion,0.002336663
feedback,0.002334557
preference,0.002328833
trade,0.002327656
ccd,0.002327365
appointments,0.002326364
deal,0.002322954
sr,0.002319249
noise,0.00231825
contribute,0.002316844
consumer,0.002303462
chw,0.002296894
plug,0.002296852
express,0.002296008
mark,0.002295477
outline,0.002294829
approval,0.002293054
exceed,0.002287556
credit,0.002283127
utilize,0.002282702
preservation,0.002280541
workstation,0.002279427
article,0.002278767
session,0.002274364
county,0.002273448
age,0.002271004
correct,0.002270851
cause,0.002270104
lock,0.002267133
focus,0.002261648
sdt,0.002260571
score,0.00225931
production,0.002258801
os,0.0022492
info,0.002247184
folder,0.002232374
sce,0.002231148
browse,0.002228516
improve,0.002227463
compatible,0.002225738
force,0.002225333
watershed,0.002224228
fraction,0.002216841
defendant,0.002210046
outside,0.002208261
join,0.002204446
degree,0.002200072
employee,0.002190731
cross,0.002188288
cancellation,0.002179591
volume,0.002177628
username,0.00217674
html,0.002171173
ec,0.002165849
wterrorxxxx,0.002157657
pende,0.002157517
increase,0.002156094
peer,0.002155217
study,0.002154132
dr,0.002153863
organize,0.002152444
cr,0.002145153
deploy,0.002144457
transit,0.002144312
presentation,0.002143361
entire,0.00214177
detection,0.002140835
contract,0.002136999
principle,0.002135286
school,0.002133213
mhi,0.002132181
import,0.002127438
appoint,0.002125907
telemetry,0.002123745
alternate,0.002122734
verification,0.002121756
inspection,0.002119549
light,0.002111311
interested,0.002110627
reading,0.002108861
partner,0.002098435
mediator,0.002093637
series,0.002091473
moodle,0.002090914
engineer,0.002089754
nna,0.00208837
finish,0.002083689
length,0.002080799
coe,0.002080371
financial,0.002077383
restriction,0.002076806
possibility,0.002075023
registry,0.002073258
sharing,0.002069934
institute,0.002069818
variable,0.002069
mi,0.00206866
batch,0.002068446
commercial,0.002067614
modeling,0.002064187
facilitate,0.002062349
bill,0.002062058
merge,0.002053205
live,0.002048847
ready,0.002047492
export,0.002046146
packet,0.002044698
smart,0.002037028
arc,0.002034508
hw,0.002030335
scheme,0.002028444
tab,0.002026586
integrity,0.002025824
inc,0.002022397
movie,0.002022259
effective,0.002019184
inform,0.002017233
digit,0.002015809
monthly,0.002015053
espc,0.002013324
programming,0.00201132
incident,0.002011264
url,0.002011056
world,0.002010532
branch,0.002008963
pdfsam,0.002008797
combine,0.002005863
effect,0.002004143
architectural,0.00200329
tec,0.001996709
laboratory,0.001994026
agreement,0.001993998
typically,0.00199107
optional,0.001990811
sell,0.001989591
reader,0.00197164
resolution,0.001966869
vub,0.001961991
representation,0.001956388
timer,0.001953344
guideline,0.001950455
copyright,0.00195004
proxy,0.00194905
activate,0.001948097
week,0.001944398
answer,0.001942477
archiving,0.001940653
hard,0.001939404
icp,0.001939371
agree,0.001934378
interest,0.001932922
tracking,0.001926956
exit,0.001926866
clip,0.001926333
torrent,0.001925498
sound,0.001917931
fishing,0.001917131
duration,0.001910587
elss,0.001909938
sign,0.001908417
libra,0.001908277
panel,0.00190559
appointment,0.001901841
avoid,0.001901018
act,0.001899915
direction,0.001898888
independent,0.001894297
mahjong,0.001890569
background,0.001889192
strategy,0.001889064
identity,0.001883906
allocation,0.001882208
money,0.001880773
property,0.001879271
header,0.001878914
srsreq,0.001876274
success,0.001875484
phone,0.00187504
tcn,0.001866189
protect,0.001864009
av,0.001862635
cif,0.001857227
compare,0.001851485
global,0.001850444
pilot,0.001844408
adaptation,0.001841674
introduce,0.001841275
indicator,0.001839329
configurable,0.001836956
minor,0.001836399
reduce,0.001833207
nxx,0.001829159
professor,0.001826836
humidity,0.001826767
survey,0.001824639
wait,0.001820513
professional,0.001819013
explorer,0.001813961
manually,0.001813414
abc,0.001811326
learn,0.001807031
notice,0.00180645
generic,0.001800051
federal,0.001799125
custom,0.001798598
attestation,0.001797452
flash,0.001794889
pick,0.001793953
country,0.00179173
extend,0.001791323
consideration,0.001788885
career,0.001787279
investigator,0.001784557
counsel,0.001783546
deployment,0.001782719
mccc,0.001782005
travel,0.001780054
computational,0.001776465
xcm,0.001774853
restrict,0.001773353
rwg,0.00177257
court,0.001771098
satisfy,0.001770624
setup,0.001769364
terminate,0.001767578
demonstration,0.001757926
march,0.001756369
negotiate,0.00175596
epoch,0.001755684
rationale,0.001755039
suggestion,0.001754699
alert,0.001752492
fast,0.001750374
automate,0.001746301
ms,0.001745108
generator,0.00174499
european,0.001743879
observe,0.001743099
timestamp,0.001738644
instal,0.001733196
exposure,0.001731284
upgrade,0.001730267
judge,0.001729764
lag,0.001729341
participate,0.001727208
personal,0.001725227
audio,0.001721832
feed,0.001720742
nature,0.001719375
installation,0.001714639
road,0.001710515
payload,0.001709184
logic,0.001709071
tree,0.001706766
systems,0.001706152
specimen,0.001703178
forward,0.001695422
binsig,0.001695302
utilization,0.001695163
intelligence,0.001693853
traceability,0.001691528
coding,0.001690501
expose,0.001687459
dialog,0.001684107
aim,0.001683551
wut,0.001683046
social,0.001680334
ref,0.001678024
xrt,0.00167625
carry,0.001672043
screenshot,0.00166379
portal,0.001663196
evaluate,0.001662222
messenger,0.001661566
courseware,0.001661186
row,0.001660671
private,0.001653911
discuss,0.001653292
distributor,0.001653264
graphic,0.001651989
properly,0.001650107
cmib,0.001648341
understanding,0.001646055
alt,0.001641672
gnu,0.001636623
adaptivity,0.001636589
prevent,0.001635963
consistent,0.001630304
correction,0.001627276
circulation,0.001626573
cu2,0.001625634
raid,0.001625383
comply,0.001623986
annual,0.001621906
combination,0.00162007
specifically,0.001615159
console,0.001614565
interval,0.001611627
solve,0.001610018
qualification,0.001607398
logbook,0.001607374
ram,0.001604014
round,0.001603427
minimize,0.001602464
eebase32,0.001602298
hk,0.001602298
nonfunctional,0.001601871
compile,0.001600249
style,0.001600076
pms,0.00159866
keep,0.00159849
progress,0.001597418
meter,0.001591989
stamp,0.001591053
criticality,0.001589157
drop,0.001578194
discard,0.001577806
analyze,0.001573793
cts,0.001573692
safe,0.001572623
ocs,0.00157151
subgroup,0.001568067
proper,0.001567053
enhancement,0.001565096
coordinate,0.001565042
means,0.001564515
proprietary,0.001564496
deadline,0.001562148
energy,0.00156164
classification,0.0015591
qeds,0.001557455
risk,0.001553053
spectrum,0.001552023
translation,0.001545475
accordance,0.001544975
advice,0.001542439
stewards,0.001542366
const,0.001538245
undo,0.001533443
xs,0.00153317
temp,0.001526918
unicast,0.001526718
teacher,0.001525889
cmcs,0.001525444
org,0.001525
persistent,0.00152256
budget,0.001521858
acquire,0.001519286
hierarchical,0.001518496
wiki,0.001517423
maintainability,0.001515593
computing,0.001514867
compose,0.001513176
simulate,0.001510256
locate,0.001509317
electrical,0.001509173
orient,0.001507962
telescopes,0.001506825
syntax,0.001505597
schema,0.001503873
disseminate,0.001503487
recommendation,0.001502529
sql,0.001502074
disable,0.001495137
moderator,0.00148966
portion,0.001489333
initialize,0.001486474
icon,0.001481622
skill,0.00147937
college,0.001479125
marketing,0.001478315
meaning,0.001478279
lose,0.001477911
likely,0.001477772
restore,0.00147684
utc,0.001476464
handling,0.001475841
transition,0.00147469
bus,0.001474579
protection,0.001473521
cart,0.001472551
limitation,0.001470865
invalid,0.001467374
classroom,0.001466937
msn,0.001461965
association,0.001461513
recognize,0.001461202
hz,0.001459485
publisher,0.001457326
intelligent,0.001455786
chwst,0.001455175
spatial,0.001454756
acceptance,0.001454742
typical,0.001454466
subsection,0.001451735
catalogue,0.001451505
repair,0.001449168
resolve,0.001448659
industry,0.001444522
pm,0.001442964
conversion,0.001441495
tcp,0.001441456
suitable,0.001439218
explain,0.001439027
limited,0.001436187
boot,0.001436043
retrieval,0.001431864
compression,0.001430862
ous,0.001429823
baseline,0.001429284
texas,0.001429252
homeowner,0.001429091
edu,0.001427556
descriptive,0.001425522
pretty,0.00142416
byte,0.001422392
centralized,0.001421062
sender,0.001417909
allocate,0.001417149
holder,0.001412271
jse,0.001410328
zone,0.001410076
ftpp,0.001408945
vary,0.00140832
delay,0.001407831
generally,0.001404419
restart,0.001404094
extraction,0.001401032
sense,0.001399828
division,0.001399721
behavior,0.001397931
void,0.001396366
array,0.001396301
deliverable,0.001393602
uint16,0.001392766
calculation,0.001392756
sort,0.001392748
override,0.00139223
outcome,0.001391202
variation,0.001390155
have,0.001389534
shipping,0.001389494
roadway,0.001389215
successful,0.001388071
accessibility,0.001387099
ingest,0.001386971
buy,0.001384395
reversible,0.001384334
workgroup,0.001383912
artificial,0.001378702
composite,0.001377029
ii,0.001375871
adapt,0.001375222
optionally,0.001375112
random,0.001373265
swift,0.001372816
dut,0.001371948
comprehensive,0.001369385
visit,0.001369046
nfr,0.001368614
telephone,0.001367971
maturity,0.001366953
finally,0.001365967
plugin,0.001365819
conduct,0.001363884
adaptive,0.001360846
ctrl,0.001357702
conflict,0.001352487
oregon,0.001352137
minimal,0.001351192
essential,0.001349408
attach,0.001348532
contributor,0.001347149
patient,0.001346751
qa,0.001346182
presence,0.00133406
existing,0.001333964
manipulate,0.001333637
compress,0.001333449
abstract,0.001332367
checking,0.001331553
divide,0.00133102
ad,0.0013306
dd,0.001330218
suggest,0.001327306
observing,0.001323747
correctly,0.001320762
indigent,0.001318273
dataset,0.001317245
book,0.001316231
police,0.001315208
redundant,0.001314905
numbering,0.001314782
transport,0.001314249
rmr,0.001314229
csci,0.001312688
rotate,0.001312333
buffer,0.001312114
periodic,0.001310787
sun,0.001309612
issuer,0.001309579
michigan,0.001306162
respect,0.001305649
unavailable,0.001303592
auto,0.001302116
gaia,0.001300507
organisation,0.001300353
iec,0.001300044
trail,0.001299825
script,0.001298992
expert,0.001298389
interlock,0.001297814
sc,0.001297765
compute,0.00129676
woman,0.001293552
fig,0.001293203
break,0.001292332
parse,0.001292221
gateway,0.001289082
e2e,0.001288552
arrive,0.001287092
vii,0.001287048
integrated,0.001282075
evaluation,0.001279841
far,0.001277752
imagery,0.001276397
weborder,0.001276087
install,0.001275893
vision,0.001275079
voltage,0.001275041
nasa,0.001274144
interim,0.001273705
FALSE,0.001273509
workflow,0.00127226
ease,0.001269169
house,0.001268327
alignment,0.001268257
closure,0.001267582
catalog,0.001265942
nt,0.001264712
authorized,0.00126436
cooling,0.001263694
dashboard,0.001261886
scale,0.001261781
conop,0.001261528
ars,0.001256404
subsequent,0.001255892
immediately,0.001255329
questionnaire,0.001254715
mb,0.001253969
desktop,0.001252652
accomplish,0.001251767
duplicate,0.001250878
equivalent,0.001250837
significant,0.001249999
variety,0.001249424
cd,0.001248582
life,0.001247771
redundancy,0.001247094
hierarchy,0.001246965
reside,0.001246928
comparison,0.001246713
bind,0.001244932
scr,0.001243456
reach,0.001241814
contracting,0.001241119
sixth,0.001240477
familiar,0.001237678
customize,0.001237442
gear,0.001237395
serial,0.00123624
intervention,0.00123467
executable,0.001234082
postcondition,0.001234039
appliance,0.001228895
audible,0.001228108
authenticate,0.001226693
immunization,0.00122439
usb,0.001223347
bring,0.001220697
feel,0.001220487
reminder,0.001218982
doc,0.001217934
adjust,0.001215491
percentage,0.001214986
int,0.001211672
completion,0.001211531
instead,0.001211062
early,0.001209876
opportunity,0.001208196
noaa,0.00120693
usually,0.001204747
probe,0.001201321
brake,0.001201221
plot,0.001200869
graph,0.00120061
collaboration,0.00119983
pos,0.001199508
mac,0.001199379
eg,0.001197367
soa,0.001196677
